id_compra,cliente,producto,categoria,precio,fecha_compra
1,Susana Calderón Gómez,Garbanzo,Granos,25238.4,2025-05-09
2,Martha Yaneth Torres,Harina Pan,Alimentos,25155.7,2025-08-21
3,Camila Leidy Estrada,Gaseosa Postobón Manzana,Bebidas,18495.23,2025-04-04
4,Dora Pardo Bohórquez,Agua Brisa con gas,Bebidas,18852.74,2025-07-10
5,Eugenia María Ramos Escobar,Leche Alquería,Bebidas,15991.15,2025-03-29
6,Yeison César Chacón,Lavaloza Axion,Limpieza,21325.74,2025-09-30
7,José Córdoba,Maíz Pira,Granos,9769.42,2025-08-27
8,Ángela Barrera,Toallas de Cocina Scott,Limpieza,2998.87,2025-06-30
9,Jesús David Barrera,Jugo Hit,Bebidas,5008.78,2024-10-26
10,Pablo Dario Arias,Jugo Hit,Bebidas,4762.19,2025-05-14
11,Héctor Rodríguez Giraldo,Arroz Roa,Alimentos,19432.42,2025-05-10
12,José Aldemar Agudelo,Fríjol Cargamanto,Granos,29838.42,2025-04-17
13,Leonor Luz Galeano,Fríjol Cargamanto,Granos,27087.86,2025-02-05
14,José González,Lentejas La Constancia,Alimentos,18094.68,2025-09-24
15,José Julio Morales Meneses,Té Lipton Durazno,Bebidas,29471.71,2024-12-25
16,Cristina Rubio Díaz,Suavitel,Limpieza,15805.9,2025-01-07
17,Daniela Lucy Romero,Jugo de Guayaba del Valle,Bebidas,22984.05,2025-03-10
18,Gabriel Ramírez,Fríjol Cargamanto,Granos,6929.16,2024-11-17
19,Daniela Cruz,Harina Pan,Alimentos,22807.37,2025-06-19
20,Ricardo Ávila Blanco,Arveja Verde,Granos,5558.51,2024-10-18
21,Esperanza Orozco,Cloro Clorox,Limpieza,18478.15,2025-08-20
22,Tatiana Aura Villamizar Marín,Azúcar Manuelita,Alimentos,6635.52,2025-05-07
23,César Bautista Salamanca,Agua Brisa con gas,Bebidas,22577.29,2025-04-08
24,Sofía Marisol Peña,Arveja Verde,Granos,16947.12,2025-08-11
25,Javier Juan Castrillón,Lavaloza Axion,Limpieza,28406.26,2024-10-16
26,Alexandra Molina Acosta,Aceite Premier,Alimentos,26293.42,2025-03-07
27,Gabriel Velandia,Agua Brisa con gas,Bebidas,21838.1,2025-05-20
28,Andrés Andrés Restrepo Padilla,Jugo Hit,Bebidas,19018.16,2025-06-27
29,Ana García,Azúcar Manuelita,Alimentos,5163.76,2025-07-16
30,Juan Steven Mena,Jugo Hit,Bebidas,8904.78,2024-12-07
31,Rafael Rafael Salcedo Mendoza,Agua Cristal,Bebidas,21181.54,2025-06-08
32,Josefina Zapata Gómez,Maíz Pira,Granos,18795.92,2024-11-06
33,José Albeiro Sánchez Pérez,Agua Cristal,Bebidas,12108.11,2025-02-26
34,Diana Ospina Mercado,Jugo de Guayaba del Valle,Bebidas,12831.51,2024-11-19
35,Andrés Mauricio Rincón,Maíz Pira,Granos,18701.03,2025-06-02
36,Sebastián Salazar Acosta,Jugo de Guayaba del Valle,Bebidas,22735.42,2025-03-19
37,Hugo González Barrera,Fríjol Cargamanto,Granos,9221.61,2024-11-16
38,Jorge Jairo Gómez,Arroz Roa,Alimentos,4077.34,2024-12-29
39,María Valderrama,Desinfectante Fabuloso,Limpieza,20717.66,2025-08-04
40,Luz Castaño Sandoval,Arveja Verde,Granos,19731.69,2024-12-29
