id_compra;cliente;producto;categoria;precio;fecha_compra
1;Nataly Gómez;Arroz Roa;Alimentos;22763.41;2024-10-19
2;Felipe Víctor Orozco;Cloro Clorox;Limpieza;5907.06;2025-01-20
3;Esperanza Guzmán;Fríjoles Diana;Alimentos;18533.79;2025-02-02
4;Jairo Jaime Mena;Arroz Roa;Alimentos;4623.47;2025-07-11
5;Leidy Pineda Zapata;Jabón Rey;Limpieza;17714.86;2025-02-21
6;María María García Mena;Lentejas Ramo;Granos;14577.85;2025-05-19
7;Ernesto Valencia Yepes;Coca-Cola;Bebidas;23246.61;2024-11-07
8;Roberto Jesús Manrique;Desinfectante Fabuloso;Limpieza;11527.01;2025-09-21
9;Ángela Cortés;Cloro Clorox;Limpieza;28801.97;2025-02-23
10;Flor Fonseca Rodríguez;Agua Cristal;Bebidas;4596.88;2025-03-11
11;Patricia Palacios Bermúdez;Sal Refisal;Alimentos;25729.84;2025-08-30
12;Augusto Acosta Marín;Coca-Cola;Bebidas;22432.49;2025-03-14
13;Leidy Carmen Cuesta Mora;Atún Van Camps;Alimentos;4206.41;2025-07-15
14;Elsa Gil Monroy;Gaseosa Postobón Manzana;Bebidas;18165.86;2025-07-04
15;Maribel Carmen Vergara;Arroz Roa;Alimentos;20515.37;2025-09-07
16;Gustavo Pérez Montoya;Agua Cristal;Bebidas;25948.9;2024-10-12
17;Antonio Didier Cuéllar Ocampo;Atún Van Camps;Alimentos;9783.26;2025-01-03
18;Camilo Hernando Martínez Padilla;Jugo Hit;Bebidas;12365.07;2024-12-10
19;Nelson Andrés Cruz Torres;Papel Higiénico Familia;Limpieza;21650.97;2025-09-19
20;José Pablo Gonzáles Bonilla;Lentejas La Constancia;Alimentos;16955.92;2024-11-05
21;Jhon Jiménez;Suavitel;Limpieza;14943.29;2025-02-07
22;Héctor Castro;Leche Alquería;Bebidas;21169.2;2025-03-28
23;Natalia Valeria Moreno Prieto;Aceite Premier;Alimentos;25010.47;2024-11-20
